week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
Chargers,49ers,Cowboys,Jags,,,,,,,,,,
Bills,Bengals,Ravens,Dolphins,,,,,,,,,,
Seahawks,Bucs,Bucs,Cowboys,,,,,,,,,,
Jets,Jags,Titans,Vikings,,,,,,,,,,
Bucs,Jets,Falcons,Falcons,,,,,,,,,,
Lions,Patriots,Giants,Jets,,,,,,,,,,
49ers,Giants,Packers,Raiders,,,,,,,,,,
Eagles,Dolphins,Jets,Eagles,,,,,,,,,,
Cowboys,Cardinals,Texans,Titans,,,,,,,,,,
Vikings,Rams,49ers,49ers,,,,,,,,,,
Jags,Bills,Chargers,Commanders,,,,,,,,,,
Titans,Chargers,Dolphins,Seahawks,,,,,,,,,,
Bengals,Cowboys,Patriots,Bills,,,,,,,,,,
Chiefs,,,Bengals,,,,,,,,,,
