week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
Bills,Falcons,Ravens,Jags,,,,,,,,,,
Chargers,Browns,Bengals,Falcons,,,,,,,,,,
Vikings,Packers,Cowboys,Cowboys,,,,,,,,,,
Eagles,Colts,Titans,Lions,,,,,,,,,,
Rams,Vikings,Packers,Vikings,,,,,,,,,,
Lions,Bengals,Bucs,Raiders,,,,,,,,,,
Seahawks,Ravens,Jags,Jets,,,,,,,,,,
Jets,Bucs,Jets,Eagles,,,,,,,,,,
Bucs,Rams,Raiders,Titans,,,,,,,,,,
Titans,Seahawks,Chargers,Commanders,,,,,,,,,,
Jags,Chiefs,Chiefs,49ers,,,,,,,,,,
Bengals,Eagles,Dolphins,Seahawks,,,,,,,,,,
49ers,Chargers,Patriots,Bills,,,,,,,,,,
Chiefs,,,Bengals,,,,,,,,,,
