week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
Lions,Ravens,Ravens,Jags,Patriots,,,,,,,,,
Jags,Jags,Bucs,Dolphins,Bills,,,,,,,,,
Bucs,Browns,Bengals,Falcons,Vikings,,,,,,,,,
Bills,Bengals,Lions,Cardinals,Lions,,,,,,,,,
Vikings,Bucs,Giants,Raiders,Chargers,,,,,,,,,
Titans,49ers,Packers,Eagles,Jags,,,,,,,,,
Seahawks,Jets,Titans,Titans,Bengals,,,,,,,,,
49ers,Vikings,Raiders,Seahawks,Dolphins,,,,,,,,,
Rams,Rams,Jets,Commanders,Seahawks,,,,,,,,,
Chiefs,Cardinals,Seahawks,49ers,Rams,,,,,,,,,
Chargers,Cowboys,Dolphins,Bills,Chiefs,,,,,,,,,
Dolphins,Chargers,Patriots,Bengals,Ravens,,,,,,,,,
Cardinals,Bills,Chiefs,Cowboys,,,,,,,,,,
Bengals,,,Jets,,,,,,,,,,
