week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
Bills,49ers,Bengals,Jags,,,,,,,,,,
Chargers,Browns,Cowboys,Falcons,,,,,,,,,,
Vikings,Jets,Titans,Cowboys,,,,,,,,,,
Lions,Colts,Packers,Dolphins,,,,,,,,,,
Saints,Vikings,Bucs,Cardinals,,,,,,,,,,
Dolphins,Saints,Giants,Raiders,,,,,,,,,,
Bucs,Giants,Ravens,Jets,,,,,,,,,,
Titans,Bucs,Jets,Eagles,,,,,,,,,,
Jags,Rams,Raiders,Titans,,,,,,,,,,
49ers,Seahawks,Chargers,Colts,,,,,,,,,,
Cowboys,Bills,49ers,49ers,,,,,,,,,,
Eagles,Cowboys,Dolphins,Giants,,,,,,,,,,
Ravens,Chargers,Patriots,Bills,,,,,,,,,,
Chiefs,,,Browns,,,,,,,,,,
