week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
Patriots,Giants,Ravens,Broncos,Chargers,-,-,-,-,-,-,-,-,-
Chargers,Colts,Panthers,Dolphins,Bengals,-,-,-,-,-,-,-,-,-
Texans,Patriots,Bengals,Falcons,Patriots,-,-,-,-,-,-,-,-,-
Bucs,Bengals,Cowboys,Vikings,Jets,-,-,-,-,-,-,-,-,-
Bills,Steelers,Giants,Cowboys,Jags,-,-,-,-,-,-,-,-,-
Jets,Falcons,Commanders,Saints,Lions,-,-,-,-,-,-,-,-,-
Vikings,Jets,Titans,Eagles,Vikings,-,-,-,-,-,-,-,-,-
Titans,Vikings,Raiders,Patriots,Dolphins,-,-,-,-,-,-,-,-,-
Saints,Rams,Jets,Titans,Seahawks,-,-,-,-,-,-,-,-,-
49ers,Seahawks,Chiefs,Seahawks,Bucs,-,-,-,-,-,-,-,-,-
Eagles,Bills,Seahawks,Commanders,Chiefs,-,-,-,-,-,-,-,-,-
Cowboys,Eagles,Dolphins,49ers,Ravens,-,-,-,-,-,-,-,-,-
Ravens,Chargers,Bears,Bills,-,-,-,-,-,-,-,-,-,-
Chiefs,-,-,Browns,-,-,-,-,-,-,-,-,-,-
